Study ID	Patient ID	Sample ID	Age	Annotation Source	Cancer Type	Cancer Type Detailed	Cell Line Source	Characteristics	DepMap ID	Disease Ontology	Doubling Time (hrs)	Doubling Time From Vendor	Ethnicity Category	Fraction Genome Altered	Freezing Medium	Genome Doublings	Geographic Distribution	Growth Medium	Histology	Hist Subtype 1	Hist Subtype 2	Hist Subtype 3	Life Stage	Lineage	Lineage Molecular Subtype	Lineage Subtype	Lineage Sub-subtype	Mutation Count	Mutation Rate	Name	Oncotree Code	Pathologist Annotation	Ploidy	Primary Tumor Site	Proteomics 10-Plex ID	Proteomics TMT label	Purity	Race Category	Number of Samples Per Patient	Sample Type	Sex	Site of Finding	Site Subtype 1	Site Subtype 2	Site Subtype 3	Subtype	Supplements	TMB (nonsynonymous)	Tumor Type	Type Refined
ccle_broad_2019	DFCI024_LUNG	DFCI024_LUNG	NA	ACHILLES	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-001058	NA	NA	NA	NA	NA	NA	NA	NA	NA	Carcinoma	non_small_cell_carcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	NA	NA	DFCI024	LUAD	NA	NA	Lung	NA	NA	NA	NA	1	NA	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	NA	lung_NSC	lung_NSC
ccle_broad_2019	DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DG75_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Mature B-Cell Neoplasms	Burkitt Lymphoma	NA	NA	ACH-002232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lymphocyte	NA	non_hodgkin_lymphoma	b_cell_burkitt	1535	NA	NA	BL	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	B-cell, Non-Hodgkins, Burkitts	NA	51.1333333333	NA	lymphoma_Burkitt
ccle_broad_2019	DIFI_LARGE_INTESTINE	DIFI_LARGE_INTESTINE	NA	NA	Colorectal Cancer	Colorectal Adenocarcinoma	NA	NA	ACH-002233	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	colorectal	NA	colorectal_adenocarcinoma	NA	211	NA	NA	COADREAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Colorectal Carcinoma	NA	7.2	NA	colorectal
ccle_broad_2019	DIPG007_CENTRAL_NERVOUS_SYSTEM	DIPG007_CENTRAL_NERVOUS_SYSTEM	NA	NA	Glioma	Glioblastoma	NA	NA	ACH-002348	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	unknown	NA	NA	NA	200	NA	NA	GB	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Unknown	NA	7.03333333333	NA	NA
ccle_broad_2019	DJM1_SKIN	DJM1_SKIN	NA	NA	Skin Cancer, Non-Melanoma	Cutaneous Squamous Cell Carcinoma	NA	NA	ACH-002100	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	skin	NA	skin_squamous	NA	547	NA	NA	CSCC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Squamous Cell Carcinoma	NA	18.2	NA	NA
ccle_broad_2019	DKMG_CENTRAL_NERVOUS_SYSTEM	DKMG_CENTRAL_NERVOUS_SYSTEM	67	CCLE	Glioma	Glioblastoma Multiforme	DSMZ	SPINDLE, FIBROBLAST-LIKE CELLS GROWING MOSTLY ADHERENT AS MONOLAYER	ACH-000244	NA	77.7	50 hrs	Caucasian	0.2268	5% DMSO	0	NA	RPMI-1640+10% FBS	Glioma	astrocytoma_Grade_IV	glioblastoma_multiforme	NS	NA	central_nervous_system	NA	glioma	glioblastoma	169	73.93675728	DK-MG	GBM	CNS:Glioma_HighGrade	1.91	Central_Nervous_System	NA	NA	1	NA	1	Primary	Female	NA	parietal_lobe	NS	NS	Glioblastoma	2mM l-GLUTAMINE	5.7	glioma	glioma
ccle_broad_2019	DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DL40_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	NA	NA	ACH-001060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lymphocyte	NA	lymphoma_unspecified	t_cell	354	NA	NA	TLL	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	T-cell	NA	12.0666666667	NA	NA
ccle_broad_2019	DLD1_LARGE_INTESTINE	DLD1_LARGE_INTESTINE	NA	CCLE	Colorectal Cancer	Colorectal Adenocarcinoma	NA	NA	ACH-001061	NA	NA	NA	Caucasian	0.0440	NA	0	NA	NA	Carcinoma	adenocarcinoma	NS	NS	NA	colorectal	NA	colorectal_adenocarcinoma	NA	NA	NA	DLD-1	COADREAD	NA	2.02	Large_Intestine	NA	NA	0.99	NA	1	Primary	Male	NA	colon	NS	NS	Adenocarcinoma	NA	NA	colorectal	colorectal
ccle_broad_2019	DL_SOFT_TISSUE	DL_SOFT_TISSUE	NA	NA	Rhabdoid Cancer	Rhabdoid Cancer	NA	NA	ACH-001059	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	soft_tissue	NA	malignant_rhabdoid_tumor	NA	NA	NA	NA	MRT	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Malignant Rhabdoid Tumor	NA	NA	NA	NA
ccle_broad_2019	DM3_FIBROBLAST	DM3_FIBROBLAST	62	CCLE	Lung Cancer, NOS	Lung	DSMZ	LARGE, ADHERENT CELLS; very slow grower	ACH-000742	NA	NA	NA	Caucasian	NA	5%DMSO	0	NA	NA	Mesothelioma	NS	NS	NS	NA	fibroblast	NA	fibroblast_lung	NA	82	117.6972064	DM-3	LUNG	NA	2	Pleura	NA	NA	0.95	NA	1	Metastasis	Male	pleura	NS	NS	NS	Lung	NA	2.83333333333	mesothelioma	fibroblast_like
ccle_broad_2019	DM3_PLEURA	DM3_PLEURA	NA	NA	Lung Cancer, NOS	Lung	NA	NA	ACH-000742	NA	NA	NA	NA	0.0316	NA	NA	NA	NA	NA	NA	NA	NA	NA	fibroblast	NA	fibroblast_lung	NA	NA	NA	NA	LUNG	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Lung	NA	NA	NA	NA
ccle_broad_2019	DMS114_LUNG	DMS114_LUNG	68	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Adherent	ACH-000530	lung_cancer	77.7	NA	Caucasian	0.5627	5%DMSO	1	NA	Waymouth MB 7521 medium+10%FBS	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	282	140.1947167	DMS 114	SCLC	Lung:SCLC	3	Lung	8	130n	1	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	9.36666666667	lung_small_cell	lung_small_cell
ccle_broad_2019	DMS153_LUNG	DMS153_LUNG	44	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Mixed line, loosely adherent	ACH-000594	NA	63.5	NA	Caucasian	0.3774	5%DMSO	0	NA	Waymouth MB 7521 medium+10%FBS	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	374	129.2287935	DMS 153	SCLC	Lung:SCLC	1.9	Lung	NA	NA	1	Caucasian	1	Metastasis	Male	liver	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	12.6	lung_small_cell	lung_small_cell
ccle_broad_2019	DMS273_LUNG	DMS273_LUNG	50	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	NA	ACH-000749	NA	NA	NA	Caucasian	0.6064	NA	1	NA	NA	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	373	161.6675583	DMS 273	SCLC	Lung:SCLC	2.73	Lung	6	128c	0.99	NA	1	Metastasis	Female	pleura	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	12.4333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	DMS454_LUNG	DMS454_LUNG	NA	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ECACC	Adherent	ACH-000844	NA	121.8	NA	Caucasian	0.6795	5%DMSO	1	NA	Waymouth's +10%FBS	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	811	210.1982336	DMS 454	SCLC	Lung:SCLC	2.98	Lung	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	2mM GLUTAMINE	27.1333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	DMS53_LUNG	DMS53_LUNG	54	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Adherent	ACH-000698	lung_cancer	450	NA	Caucasian	0.7551	5%DMSO	1	NA	Waymouth's +10%FBS	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	694	157.2416381	DMS 53	SCLC	Lung:SCLC	2.85	Lung	NA	NA	0.99	Caucasian	1	Primary	Male	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	23.3333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	DMS79_LUNG	DMS79_LUNG	65	CCLE	Small Cell Lung Cancer	Small Cell Lung Cancer	ATCC	Suspension; multicell aggregates	ACH-000703	NA	244	NA	Caucasian	0.8655	5% DMSO	1	NA	RPMI-1640+10%FBS	Carcinoma	small_cell_carcinoma	NS	NS	NA	lung	NA	SCLC	NA	518	154.1632015	DMS 79	SCLC	Lung:SCLC	3.56	Lung	NA	NA	1	Caucasian	1	Primary	NA	NA	NS	NS	NS	Small Cell Lung Cancer (SCLC)	NA	17.4333333333	lung_small_cell	lung_small_cell
ccle_broad_2019	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DND41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13	CCLE	T-Lymphoblastic Leukemia/Lymphoma	T-Lymphoblastic Leukemia/Lymphoma	DSMZ	round cells growing singl or, occasionally, in clumps	ACH-000981	TALL	139.1	~  35 hrs	Caucasian	0.1197	NA	0	NA	90%RPMI 1640+ 10% h.i. FBS	Lymphoid_Neoplasm	acute_lymphoblastic_T_cell_leukaemia	NS	NS	NA	blood	NA	ALL	t_cell	2745	723.5425088	DND-41	TLL	Leukemia:ALL	1.99	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	NA	1	Primary	Male	NA	NS	NS	NS	Acute Lymphoblastic Leukemia (ALL), T-cell	NA	91.9333333333	T-cell_ALL	T-cell_ALL
ccle_broad_2019	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	DOHH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	60	CCLE	Mature B-Cell Neoplasms	Diffuse Large B-Cell Lymphoma, NOS	DSMZ	cells grow as sinngle cells or in clumps in suspention	ACH-000056	NA	119.2	~  40 hrs	Caucasian	0.0885	NA	0	NA	90% RPMI + 10% h.i.FBS	Lymphoid_Neoplasm	diffuse_large_B_cell_lymphoma	NS	NS	NA	lymphocyte	NA	non_hodgkin_lymphoma	DLBCL	169	86.31442483	DOHH-2	DLBCLNOS	Lymphoma:NH_B_cell	2.06	Haematopoietic_And_Lymphoid_Tissue	NA	NA	0.98	NA	1	Metastasis	Male	pleura	NS	NS	NS	Diffuse Large B-cell Lymphoma (DLBCL)	N/a	5.7	lymphoma_DLBCL	lymphoma_DLBCL
ccle_broad_2019	DOK_UPPER_AERODIGESTIVE_TRACT	DOK_UPPER_AERODIGESTIVE_TRACT	NA	NA	Head and Neck Cancer	Oral Cavity Squamous Cell Carcinoma	NA	NA	ACH-002234	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	upper_aerodigestive	NA	NA	NA	168	NA	NA	OCSC	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Oral Dysplasia	NA	5.7	NA	upper_aerodigestive
ccle_broad_2019	DOTC24510_CERVIX	DOTC24510_CERVIX	NA	NA	Cervical Cancer	Cervical Adenocarcinoma	NA	NA	ACH-001341	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	cervix	NA	cervical_adenocarcinoma	NA	328	NA	NA	CEAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Cervical Adenocarcinoma	NA	11.0	NA	cervix
ccle_broad_2019	DOV13_OVARY	DOV13_OVARY	NA	CCLE	Ovarian Cancer	Ovarian Epithelial Tumor	Acd Lab	Suspension	ACH-001063	Ovarian Cancer	29	NA	Caucasian	0.3583	5%DMSO	1	NA	RPMI-1640+10%FBS	Carcinoma	NS	NS	NS	NA	ovary	NA	ovary_adenocarcinoma	NA	1165	NA	DOV13	OVT	Ovary:Carcinoma	3.21	Ovary	NA	NA	1	NA	1	Primary	Female	NA	NS	NS	NS	Adenocarcinoma	NA	38.8333333333	ovary	ovary
ccle_broad_2019	DSH1_URINARY_TRACT	DSH1_URINARY_TRACT	NA	NA	Bladder Cancer	Bladder Urothelial Carcinoma	NA	NA	ACH-002235	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	urinary_tract	NA	bladder_carcinoma	NA	264	NA	NA	BLCA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Carcinoma	NA	8.9	NA	urinary_tract
ccle_broad_2019	DU145_PROSTATE	DU145_PROSTATE	69	CCLE	Prostate Cancer	Prostate Adenocarcinoma	ATCC	ADHERENT EPITHELIAL;	ACH-000979	prostate_cancer	161	NA	Caucasian	0.5916	5% DMSO	1	NA	EMEM + 10% FBS	Carcinoma	NS	NS	NS	NA	prostate	NA	prostate_adenocarcinoma	NA	3187	762.9231088	DU 145	PRAD	Prostate:Carcinoma	2.68	Prostate	28	127n	1	Caucasian	1	Metastasis	Male	brain	NS	NS	NS	Adenocarcinoma	NA	106.833333333	prostate	prostate
ccle_broad_2019	DU4475_BREAST	DU4475_BREAST	62	CCLE	Breast Cancer	Invasive Breast Carcinoma	ATCC	suspension, multicell aggregates	ACH-000258	breast_cancer	145.6	NA	Caucasian	0.2617	5%DMSO	0	NA	RPMI-1640 + 10% FBS	Carcinoma	ductal_carcinoma	NS	NS	NA	breast	luminal_HER2_amp	breast_carcinoma	ERneg_HER2neg	257	107.2866384	DU4475	BRCA	Breast:Carcinoma	2.02	Breast	NA	NA	1	Caucasian	1	Metastasis	Female	breast	NS	NS	NS	Carcinoma	NA	8.66666666667	breast	breast
ccle_broad_2019	DV90_LUNG	DV90_LUNG	50	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	DSMZ	ADHERENT CELLS GROWING IN MONOLAYERS	ACH-000925	lung_cancer	43.6	95 hrs	Caucasian	0.0963	5% DMSO	0	NA	RPMI-1640+10% FBS	Carcinoma	adenocarcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	1571	381.1379084	DV-90	LUAD	Lung:NSCLC_Adeno	2.06	Lung	12	130n	0.99	NA	1	Metastasis	Male	pleura	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	2mM L-GLUTAMINE, 1X NEAA	52.4666666667	lung_NSC	lung_NSC
ccle_broad_2019	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9	CCLE	Mature B-Cell Neoplasms	Burkitt Lymphoma	ATCC	suspension	ACH-000877	NA	89.8	NA	African_american	0.0385	5% DMSO	0	NA	RPMI + 10 % FBS	Lymphoid_Neoplasm	Burkitt_lymphoma	NS	NS	NA	lymphocyte	NA	non_hodgkin_lymphoma	b_cell_burkitt	302	210.5005154	EB1	BL	Lymphoma:NH_B_cell	2.01	Haematopoietic_And_Lymphoid_Tissue	NA	NA	0.97	African_American	1	Primary	Female	NA	head_neck	NS	NS	B-cell, Non-Hodgkins, Burkitts	NA	10.2666666667	lymphoma_Burkitt	lymphoma_Burkitt
ccle_broad_2019	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7	CCLE	Mature B-Cell Neoplasms	Burkitt Lymphoma	NA	NA	ACH-001064	NA	NA	NA	African_american	0.5969	NA	0	NA	NA	Lymphoid_Neoplasm	Burkitt_lymphoma	NS	NS	NA	lymphocyte	NA	non_hodgkin_lymphoma	b_cell_burkitt	562	NA	EB2	BL	NA	1.72	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	African_American	1	Metastasis	Female	ovary	NS	NS	NS	B-cell, Non-Hodgkins, Burkitts	NA	19.2	lymphoma_Burkitt	lymphoma_Burkitt
ccle_broad_2019	EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EB3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NA	NA	Mature B-Cell Neoplasms	Burkitt Lymphoma	NA	NA	ACH-002236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lymphocyte	NA	non_hodgkin_lymphoma	b_cell_burkitt	319	NA	NA	BL	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	B-cell, Non-Hodgkins, Burkitts	NA	10.7333333333	NA	lymphoma_Burkitt
ccle_broad_2019	EBC1_LUNG	EBC1_LUNG	69	CCLE	Non-Small Cell Lung Cancer	Lung Squamous Cell Carcinoma	RIKEN	ADHERENT, EPITHIAL-LIKE	ACH-000563	lung_cancer	80.5	NA	Asian	0.7260	5% DMSO	1	NA	MEM+10%FBS	Carcinoma	squamous_cell_carcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_squamous	451	161.3592702	EBC-1	LUSC	Lung:NSCLC_Squamous	3.03	Lung	5	127n	1	NA	1	Primary	Male	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Squamous Cell Carcinoma	NA	15.1333333333	lung_NSC	lung_NSC
ccle_broad_2019	ECC10_STOMACH	ECC10_STOMACH	NA	CCLE	Esophagogastric Cancer	Small Cell Carcinoma of the Stomach	RIKEN	other	ACH-000560	NA	NA	NA	Asian	0.5144	NA	2	NA	RPMI 1640 +10%FBS	Carcinoma	small_cell_adenocarcinoma	NS	NS	NA	gastric	NA	gastric_small_cell	NA	403	158.8387503	ECC10	STSC	Gastric:Carcinoma	3.78	Stomach	NA	NA	1	NA	1	Metastasis	NA	liver	NS	NS	NS	Small Cell Carcinoma	NA	13.5	stomach	stomach
ccle_broad_2019	ECC12_STOMACH	ECC12_STOMACH	63	CCLE	Esophagogastric Cancer	Small Cell Carcinoma of the Stomach	Riken	Adherent	ACH-000225	NA	95.9	NA	Asian	0.3448	5% DMSO	1	NA	RPMI-1640+10% FBS	Carcinoma	small_cell_adenocarcinoma	NS	NS	NA	gastric	NA	gastric_small_cell	NA	298	113.5833254	ECC12	STSC	Gastric:Carcinoma	2.27	Stomach	NA	NA	1	NA	1	Metastasis	Male	NS	NS	NS	NS	Small Cell Carcinoma	NA	10.2	stomach	stomach
ccle_broad_2019	ECC4	ECC4	NA	NA	Colorectal Cancer	Colorectal Adenocarcinoma	NA	NA	ACH-002024	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	colorectal	NA	colorectal_adenocarcinoma	NA	NA	NA	NA	COADREAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Adenocarcinoma	NA	NA	NA	NA
ccle_broad_2019	ECGI10_OESOPHAGUS	ECGI10_OESOPHAGUS	65	CCLE	Esophagogastric Cancer	Esophageal Squamous Cell Carcinoma	RIKEN	epithelial-like	ACH-000305	NA	NA	NA	Asian	0.6401	NA	2	NA	HamF12+10%FBS	Carcinoma	NS	NS	NS	NA	esophagus	NA	esophagus_squamous	NA	316	120.3791123	EC-GI-10	ESCC	Oesophagus:Carcinoma	3.66	Oesophagus	NA	NA	0.98	NA	1	Primary	Male	NA	NS	NS	NS	Squamous Cell Carcinoma	NA	10.6666666667	esophagus	esophagus
ccle_broad_2019	EFE184_ENDOMETRIUM	EFE184_ENDOMETRIUM	69	CCLE	Endometrial Cancer	Endometrial Carcinoma	DSMZ	EPITHELOID CELLS GROWING IN MONOLAYERS	ACH-000435	NA	89.9	92 hrs	Caucasian	0.4680	5% DMSO	0	NA	RPMI-1640+10% FBS	Carcinoma	NS	NS	NS	NA	uterus	NA	endometrial_adenocarcinoma	NA	225	115.679843	EFE-184	UCEC	Endometrium:Carcinoma	1.9	Endometrium	NA	NA	1	Caucasian	1	Metastasis	Female	ascites	NS	NS	NS	Endometrial Adenocarcinoma	NA	7.53333333333	endometrium	endometrium
ccle_broad_2019	EFM192A_BREAST	EFM192A_BREAST	46	CCLE	Breast Cancer	Invasive Breast Carcinoma	NIBRI	NA	ACH-000117	breast_cancer	96.7	NA	Caucasian	0.5781	NA	0	NA	NA	Carcinoma	NS	NS	NS	NA	breast	HER2_amp	breast_adenocarcinoma	ERpos_HER2pos	190	81.56505021	EFM-192A	BRCA	Breast:Carcinoma	1.8	Breast	37	127n	1	Caucasian	1	Metastasis	Female	pleura	NS	NS	NS	Adenocarcinoma	NA	6.5	breast	breast
ccle_broad_2019	EFM19_BREAST	EFM19_BREAST	50	CCLE	Breast Cancer	Invasive Breast Carcinoma	DSMZ	epitheloid, growing in clusters at first, then monolayer	ACH-000330	breast_cancer	NA	64 hrs	Caucasian	0.6591	5% DMSO	1	NA	RPMI-10% FBS	Carcinoma	ductal_carcinoma	NS	NS	NA	breast	luminal	breast_ductal_carcinoma	ERpos_HER2neg	254	116.3127807	EFM-19	BRCA	Breast:Carcinoma	2.93	Breast	22	126	1	Caucasian	1	Metastasis	Female	pleura	NS	NS	NS	Breast Ductal Carcinoma	NA	8.66666666667	breast	breast
ccle_broad_2019	EFO21_OVARY	EFO21_OVARY	56	CCLE	Ovarian Cancer	Clear Cell Ovarian Cancer	NIBRI	NA	ACH-000308	NA	NA	NA	Caucasian	0.6835	NA	1	NA	NA	Carcinoma	serous_carcinoma	NS	NS	NA	ovary	NA	ovary_adenocarcinoma	clear_cell	333	104.5920312	EFO-21	CCOV	Ovary:Carcinoma	2.88	Ovary	NA	NA	1	Caucasian	1	Metastasis	Female	ascites	NS	NS	NS	Adenocarcinoma, clear cell	NA	11.1	ovary	ovary
ccle_broad_2019	EFO27_OVARY	EFO27_OVARY	36	CCLE	Ovarian Cancer	Mucinous Ovarian Cancer	NIBRI	NA	ACH-000936	NA	NA	NA	Caucasian	0.1456	NA	0	NA	NA	Carcinoma	mucinous_carcinoma	NS	NS	NA	ovary	NA	ovary_adenocarcinoma	endometrioid	1549	426.5639766	EFO-27	MOV	Ovary:Carcinoma	2.02	Ovary	NA	NA	0.99	NA	1	Metastasis	Female	omentum	NS	NS	NS	Adenocarcinoma, endometrioid	NA	51.9666666667	ovary	ovary
ccle_broad_2019	EGI1_BILIARY_TRACT	EGI1_BILIARY_TRACT	NA	NA	Hepatobiliary Cancer	Extrahepatic Cholangiocarcinoma	NA	NA	ACH-001494	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	bile_duct	NA	cholangiocarcinoma	extrahepatic	375	NA	NA	EHCH	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Cholangiocarcinoma, extrahepatic	NA	12.7333333333	NA	bile_duct
ccle_broad_2019	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EHEB_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	69	CCLE	Mature B-Cell Neoplasms	Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma	DSMZ	lymphoblastoid, round to polygonal, single or clustered cells in suspention	ACH-000038	NA	176	~  50-70 hrs	Caucasian	0.0256	NA	0	NA	90% RPMI 1640 +10% h.i.FBS	Lymphoid_Neoplasm	chronic_lymphocytic_leukaemia-small_lymphocytic_lymphoma	NS	NS	NA	lymphocyte	NA	lymphoma_unspecified	b_cell	162	59.02873727	EHEB	CLLSLL	Leukemia:CLL	2	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	NA	1	Primary	Female	NA	NS	NS	NS	B-cell	NA	5.56666666667	lymphoma_other	B-cell_lymphoma_other
ccle_broad_2019	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EJM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	58	CCLE	Mature B-Cell Neoplasms	Plasma Cell Myeloma	DSMZ	suspension	ACH-000821	NA	220.4	NA	Caucasian	0.6473	5%DMSO	1	NA	IMDM+ 20% FBS	Lymphoid_Neoplasm	plasma_cell_myeloma	NS	NS	NA	plasma_cell	NA	multiple_myeloma	NA	525	162.7989126	EJM	PCM	Lymphoma:Multiple_Myeloma	3.09	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	NA	1	Primary	Female	NA	NS	NS	NS	Multiple Myeloma	NA	17.6	multiple_myeloma	multiple_myeloma
ccle_broad_2019	EKVX_LUNG	EKVX_LUNG	NA	CCLE	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	Garraway Lab	Adherent	ACH-000706	NA	68.4	NA	Caucasian	0.4790	5% DMSO	NA	NA	RPMI-1640+ 5% FBS	Carcinoma	adenocarcinoma	NS	NS	NA	lung	NA	NSCLC	NSCLC_adenocarcinoma	438	169.3654686	EKVX	LUAD	Lung:NSCLC_Others	NA	Lung	NA	NA	NA	NA	1	Primary	NA	NA	NS	NS	NS	Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma	NA	14.7666666667	lung_NSC	lung_NSC
ccle_broad_2019	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5	CCLE	Myeloproliferative Neoplasms	Chronic Myelogenous Leukemia	DSMZ	single, round to oval cells in suspention	ACH-000295	NA	65.8	~  35-40 hrs	Caucasian	0.5845	NA	0	NA	90% RPMI 1640 +10% h.i. FBS	Haematopoietic_Neoplasm	blast_phase_chronic_myeloid_leukaemia	NS	NS	NA	blood	NA	CML	blast_crisis	245	117.0396003	EM-2	CML	Leukemia:CML	1.93	Haematopoietic_And_Lymphoid_Tissue	NA	NA	1	Caucasian	1	Primary	Female	NA	NS	NS	NS	Chronic Myelogenous Leukemia (CML), blast crisis	NA	8.23333333333	CML	CML
ccle_broad_2019	EMCBAC1_LUNG	EMCBAC1_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-002101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC	NA	427	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	14.7666666667	NA	lung_NSC
ccle_broad_2019	EMCBAC2_LUNG	EMCBAC2_LUNG	NA	NA	Non-Small Cell Lung Cancer	Lung Adenocarcinoma	NA	NA	ACH-002102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	lung	NA	NSCLC	NA	170	NA	NA	LUAD	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	Non-Small Cell Lung Cancer (NSCLC), unspecified	NA	5.63333333333	NA	lung_NSC
